RunningID,X,Y,Flux1,dFlux1,Flux2,dFlux2,Flux3,dFlux3,Ra,Dec,Class,Mag1,dMag1,Mag2,dMag2,Mag3,dMag3,StarID,FieldID,ID,YJ_Color,JH_Color
49.0,6666.8349609375,8.685745239257812,17726.193359375,290.634765625,23883.548828125,422.5289611816406,28422.41015625,608.1509399414062,4.706625461578369,-0.5297954082489014,-1.0,15.199127197265625,0.017801553010940552,15.304465293884276,0.01920805871486664,15.38062572479248,0.023231448605656624,0,1,3,-0.697231292725,2.45078086853
56.0,6831.76953125,9.005943298339844,20187.306640625,291.4559326171875,28806.072265625,423.6998901367188,35285.8046875,609.33251953125,4.706900119781494,-0.5299301147460938,-1.0,15.05797004699707,0.015675460919737816,15.101001739501953,0.01596982404589653,15.145777702331545,0.018749088048934937,1,1,3,-0.245317459106,2.1909122467
58.0,6345.248046875,9.587686538696287,15147.8642578125,289.96533203125,20763.466796875,421.9724426269531,24683.255859375,607.6754760742188,4.706090450286865,-0.52953040599823,-1.0,15.369787216186525,0.020783588290214542,15.456463813781738,0.022065309807658195,15.533771514892578,0.026729760691523552,2,1,3,-0.305107116699,1.94638824463
77.0,5887.7373046875,11.238933563232422,4039.71142578125,283.2776794433594,5890.67822265625,415.77978515625,6950.08544921875,603.2039184570312,4.7053303718566895,-0.5291527509689331,-1.0,16.804790496826172,0.07613560557365417,16.824298858642578,0.07663442194461823,16.90980339050293,0.09423231333494186,3,1,3,-0.102165222168,1.49641990662
69.0,5800.0146484375,10.491735458374023,15412.9384765625,287.7144775390625,19956.28515625,419.8153381347656,22964.615234375,606.6177978515625,4.705183982849121,-0.5290818214416504,0.0,15.3509521484375,0.020267590880393985,15.49951457977295,0.022840438410639763,15.61212921142578,0.028680175542831417,4,1,3,-0.264221191406,1.57273483276
57.0,6865.15380859375,8.762974739074707,27142.93359375,293.6805725097656,37262.46484375,425.628662109375,45072.80859375,610.9224853515625,4.706955432891847,-0.5299578309059143,-1.0,14.736522674560547,0.011747468262910843,14.821533203125,0.012401810847222805,14.87999153137207,0.014716255478560925,5,1,3,-0.5297889709470001,2.34516906738
60.0,6562.10693359375,9.3847074508667,17514.658203125,290.66864013671875,22716.876953125,422.38763427734375,26654.1796875,608.0164794921875,4.706451892852783,-0.5297085046768188,0.0,15.212162017822266,0.01801865361630917,15.358840942382812,0.020187772810459137,15.450364112854006,0.024767138063907623,6,1,3,-0.656755447388,2.05665969849
61.0,6570.05517578125,9.929558753967283,12530.9677734375,289.13507080078125,16750.19140625,421.0950012207031,19678.8203125,606.9507446289062,4.706465721130371,-0.5297142863273621,-1.0,15.575704574584961,0.02505197562277317,15.689663887023926,0.02729519084095955,15.779781341552734,0.03348730504512787,7,1,3,-0.136379241943,1.8488578796400001
63.0,5432.86669921875,10.637072563171387,9968.7392578125,282.55596923828125,12895.57421875,415.194580078125,15502.8203125,603.8406982421875,4.704573154449463,-0.5287801623344421,-1.0,15.824064254760742,0.0307744350284338,15.973610877990724,0.034957215189933784,16.038751602172848,0.04228997975587845,8,1,3,-1.05840206146,0.996486663818
76.0,6129.1162109375,10.705493927001953,19766.830078125,291.4660339355469,26501.099609375,423.3023376464844,31413.791015625,608.7872924804688,4.705732345581055,-0.5293515920639038,-1.0,15.08082389831543,0.016009462997317314,15.191553115844727,0.01734253577888012,15.271976470947266,0.021041225641965863,9,1,3,-0.1226978302,1.70831871033
