RunningID,X,Y,Flux1,dFlux1,Flux2,dFlux2,Flux3,dFlux3,Ra,Dec,Class,Mag1,dMag1,Mag2,dMag2,Mag3,dMag3,StarID,FieldID,ID,YJ_Color,JH_Color
16.0,6675.49560546875,4.579935073852539,15381.96875,179.19769287109375,21662.939453125,270.06887817382807,25435.419921875,392.03851318359375,4.706624507904053,-0.5297960042953491,-1.0,14.868277549743652,0.01264871284365654,14.836514472961426,0.013535770587623121,14.830328941345215,0.016734611243009567,0,1,6,-0.697231292725,2.45078086853
26.0,6840.4208984375,5.3453803062438965,13778.82421875,178.47972106933594,20566.642578125,269.67819213867193,25558.189453125,392.01458740234375,4.706899642944336,-0.5299301147460938,1.0,14.98777675628662,0.014063795097172259,14.892900466918945,0.014236664399504663,14.825100898742676,0.016653209924697876,1,1,6,-0.245317459106,2.1909122467
24.0,6354.09033203125,5.4566650390625,13811.03125,178.43405151367188,19106.1328125,269.1830444335937,21933.734375,391.1822814941406,4.706089973449707,-0.5295311212539673,-1.0,14.985241889953613,0.014027409255504608,14.972875595092773,0.015296804718673231,14.991145133972168,0.019363882020115845,2,1,6,-0.305107116699,1.94638824463
46.0,5896.60009765625,7.579242706298827,2551.41015625,175.12017822265625,3738.018310546875,264.40652465820307,4430.5654296875,386.78509521484375,4.7053303718566895,-0.5291526317596436,1.0,16.818855285644528,0.07452152669429779,16.744203567504886,0.076799176633358,16.727777481079098,0.09478429704904556,3,1,6,-0.102165222168,1.49641990662
37.0,5808.9189453125,6.060985088348389,17139.7734375,182.5265655517578,23524.73828125,271.55633544921875,28444.44921875,392.9721374511719,4.705183029174805,-0.5290828347206116,-1.0,14.750794410705565,0.011562369763851166,14.74699592590332,0.012533171102404594,14.708932876586914,0.01499995868653059,4,1,6,-0.264221191406,1.57273483276
27.0,6873.7744140625,4.966702461242676,21366.841796875,182.2133636474609,29953.13671875,272.99600219726557,36226.9375,394.71661376953125,4.706954479217528,-0.5299580097198486,-1.0,14.511456489562988,0.009259034879505634,14.484702110290527,0.009895547293126585,14.446348190307615,0.011829860508441923,5,1,6,-0.5297889709470001,2.34516906738
25.0,6570.95947265625,5.016444206237793,19162.451171875,181.07305908203125,25627.875,271.4962158203125,30261.978515625,393.2980651855469,4.706450462341309,-0.5297096371650696,-1.0,14.629679679870605,0.010259556584060192,14.65402603149414,0.0115020964294672,14.641683578491213,0.014110757037997248,6,1,6,-0.656755447388,2.05665969849
28.0,6578.95166015625,5.985542297363281,9985.03515625,176.52239990234375,13135.9443359375,267.04666137695307,15210.833984375,389.4642028808594,4.7064642906188965,-0.5297148227691649,-1.0,15.33743381500244,0.0191944669932127,15.379655838012695,0.022072508931159973,15.388544082641602,0.027799714356660843,7,1,6,-0.136379241943,1.8488578796400001
23.0,5441.72607421875,5.2786760330200195,33430.48046875,190.6881103515625,48604.7421875,280.39736938476557,56903.78515625,400.13909912109375,4.704571723937988,-0.5287823677062988,-1.0,14.025450706481935,0.006193081848323345,13.959111213684082,0.006263558287173511,13.956073760986328,0.00763476500287652,8,1,6,-1.05840206146,0.996486663818
41.0,6138.05712890625,6.6363887786865225,14549.078125,178.80511474609375,20428.13671875,269.60992431640625,24125.576171875,391.6601257324219,4.70573091506958,-0.5293521881103516,-1.0,14.928718566894533,0.013343516737222672,14.900236129760742,0.014329561963677406,14.88773250579834,0.017626151442527768,9,1,6,-0.1226978302,1.70831871033
42.0,6468.255859375,6.832522392272949,14639.1767578125,178.84971618652344,20807.30859375,269.7393798828125,24538.02734375,391.7554931640625,4.7062811851501465,-0.5296227931976318,-1.0,14.922015190124512,0.013264699839055538,14.880268096923828,0.01407518982887268,14.869327545166016,0.017334099858999252,10,1,6,0.021194458007799996,1.6659450531
56.0,5597.458984375,8.406777381896973,3345.36572265625,175.80252075195312,4745.498046875,264.9215087890625,5485.12451171875,387.17718505859375,4.704833507537842,-0.5289058089256287,-1.0,16.524696350097653,0.057056788355112076,16.485103607177734,0.06061236560344696,16.49595832824707,0.07663886994123459,11,1,6,-0.020624160766599998,1.58445739746
62.0,5924.33349609375,7.72926139831543,12911.2060546875,180.41136169433602,18595.994140625,269.7767333984375,22665.38671875,391.46417236328125,4.705377101898193,-0.5291751623153687,1.0,15.058390617370605,0.015171303413808348,15.002259254455565,0.015751101076602936,14.95551872253418,0.01875230669975281,12,1,6,-0.0419654846191,1.52419090271
65.0,4241.40380859375,8.15208625793457,13473.3291015625,181.5040435791016,19983.671875,270.18984985351557,23487.517578125,391.5162353515625,4.7025790214538565,-0.5277913212776184,-1.0,15.012120246887207,0.014626392163336275,14.92411994934082,0.014679781161248684,14.916833877563475,0.01809833012521267,13,1,6,-1.04020690918,1.66400527954
72.0,5832.90966796875,8.762312889099121,7566.28125,177.7279815673828,10521.0205078125,266.88824462890625,12571.7294921875,388.8963623046875,4.705225467681885,-0.529098629951477,-1.0,15.63860034942627,0.025503462180495262,15.6206636428833,0.027542123571038246,15.595438957214355,0.033586494624614716,14,1,6,-0.039661407470699996,1.51796722412
76.0,4019.504638671875,9.178442001342773,14365.5751953125,182.9289093017578,20902.86328125,271.9716796875,24375.830078125,393.8775024414063,4.702211380004883,-0.5276072025299072,-1.0,14.942500114440918,0.01382563728839159,14.875293731689453,0.014126798138022425,14.8765287399292,0.017543958500027657,15,1,6,-0.696197509766,2.34128189087
103.0,6628.349609375,9.297628402709961,11204.7490234375,177.14028930664062,15608.0283203125,267.89096069335943,17999.71484375,390.0993041992188,4.706550121307373,-0.5297505855560303,-2.0,15.212302207946776,0.01716489158570766,15.192438125610352,0.018635276705026627,15.20576286315918,0.023530729115009308,16,1,6,0.0034694671630900002,1.78724479675
70.0,4959.05712890625,8.927727699279785,8066.20556640625,177.77975463867188,11496.1376953125,266.96783447265625,14423.1064453125,389.2384643554688,4.70377254486084,-0.5283804535865784,-1.0,15.569134712219238,0.023929787799716,15.524428367614744,0.02521347999572754,15.446279525756836,0.029301021248102188,17,1,6,-0.0264377593994,1.4591484069799998
86.0,6226.908203125,9.90021514892578,5222.85498046875,174.131103515625,7463.759765625,264.97589111328125,9039.1533203125,387.82745361328125,4.705882549285889,-0.5294203758239746,-1.0,16.04103660583496,0.03619880229234696,15.993413925170898,0.038545574992895126,15.953608512878418,0.04658398404717445,18,1,6,-0.0574722290039,1.6178588867200001
89.0,6152.03271484375,10.317461013793944,5387.30810546875,174.20260620117188,7661.35791015625,265.02957153320307,9559.7568359375,387.9351806640625,4.705758094787598,-0.5293583869934082,-2.0,16.007377624511722,0.035108208656311035,15.965044021606445,0.03755903244018555,15.892809867858887,0.04405935481190682,19,1,6,-0.06155395507809999,1.4719581603999998
109.0,5864.8447265625,12.01325225830078,3726.21728515625,175.7470703125,5238.90283203125,264.96017456054693,6538.34765625,387.3294677734375,4.705281734466553,-0.5291201472282411,-1.0,16.407634735107422,0.05120893195271492,16.37770652770996,0.05491185188293457,16.305255889892578,0.06431886553764342,20,1,6,-0.159532546997,1.49347686768
83.0,6914.13818359375,7.501265525817871,66567.0,203.04714965820312,94287.3125,294.704833984375,110911.7734375,413.0872497558594,4.707024097442627,-0.5299874544143677,-1.0,13.27765941619873,0.0033117972780019045,13.239675521850586,0.0033935934770852327,13.23148250579834,0.004043802618980408,21,1,6,0.146600723267,1.6963729858399998
